AUD,CAD,CHF,CZK,DKK,EUR,GBP,HKD,HUF,JPY,KRW,NOK,NZD,PLN,SEK,SGD,ZAR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1.5084,1.4678,1.4996,35.217,6.9578,0.93589,0.6175,7.7535,234.4,123.04,1206.9,7.675,1.7946,3.923,8.402000000000001,1.7123,6.2175,,,,,,,,,,,,,,,,,
1.487,1.4579,1.4989,35.23900000000001,6.954,0.93545,0.61665,7.7533,234.13,123.12,1200.5,7.6815,1.7804,3.9181,8.4219,1.7115,6.1672,,,,,,,,,,,,,,,,,
1.5094,1.4668,1.5062,35.462,6.9913,0.94038,0.61774,7.7518,234.84,124.51,1199.3,7.7716,1.8119,3.92,8.4897,1.7218,6.1875,,,,,,,,,,,,,,,,,
1.5117,1.4656,1.5058,35.634,6.9891,0.93994,0.61951,7.7543,235.03,124.22,1198.7,7.7639,1.8208,3.9307,8.4562,1.722,6.22,,,,,,,,,,,,,,,,,
1.5045,1.4607,1.5166,35.78,7.0328,0.94589,0.62268,7.7532,236.56,124.15,1193.2,7.7805,1.8242,3.9413,8.4771,1.7206,6.1925,,,,,,,,,,,,,,,,,
1.5213,1.4604,1.5137,35.718,7.0246,0.94473,0.62513,7.7547,236.45,123.63,1189.3,7.7879,1.8379,3.9335,8.4794,1.7216,6.2175,,,,,,,,,,,,,,,,,
1.5182,1.4568,1.5022,35.679,6.9962,0.941,0.62426,7.7531,236.16,122.72,1186.4,7.7694,1.8344,3.9431,8.4591,1.7233,6.2387,,,,,,,,,,,,,,,,,
1.5382,1.4662,1.5139,35.944,7.0559,0.94922,0.62458,7.754,237.71,122.23,1191.0,7.8196,1.8716,3.9633,8.5306,1.732,6.2652,,,,,,,,,,,,,,,,,
1.5332,1.4680000000000002,1.5219,36.093,7.0965,0.95484,0.62551,7.7551,238.64,122.27,1188.6,7.8779,1.866,3.9785,8.5725,1.7317,6.2575,,,,,,,,,,,,,,,,,
1.5313,1.4756,1.5212,35.867,7.0923,0.95429,0.62468,7.7534,238.69,120.91,1185.6,7.8676,1.8663,3.9844,8.5838,1.725,6.2549,,,,,,,,,,,,,,,,,
1.5373,1.4739,1.5248,35.915,7.1077,0.95639,0.62395,7.7542,238.75,121.63,1186.2,7.8783,1.8679,3.9707,8.5769,1.7269,6.215,,,,,,,,,,,,,,,,,
1.5514,1.4764,1.5265,36.001,7.1222,0.95841,0.62344,7.7558,238.83,121.09,1187.2,7.8929,1.8843,3.9846,8.5945,1.7232,6.2125,,,,,,,,,,,,,,,,,
1.5484,1.4833,1.5327,36.098,7.1583,0.96321,0.62059,7.7519,239.47,121.08,1185.8,7.9383,1.8965,3.992,8.6525,1.7248,6.1965,,,,,,,,,,,,,,,,,
1.5490000000000002,1.4779,1.5342,36.153,7.1577,0.96321,0.6220399999999999,7.7559,239.63,121.17,1184.7,7.9378,1.9071,3.9925,8.6053,1.7263,6.21,,,,,,,,,,,,,,,,,
1.5353,1.4768,1.5392,36.341,7.2033,0.96946,0.62162,7.7574,240.82,121.62,1183.9,7.9762,1.885,4.0073,8.6394,1.7267,6.18,,,,,,,,,,,,,,,,,
