Date,LTL,YTD
2001-04-23,4.0,4.0041
2001-04-24,4.0,4.0041
2001-04-25,3.9997,4.0041
2001-04-26,3.999,4.0019
2001-04-27,3.9993,4.0025
2001-04-30,3.999,4.0033
2001-05-01,3.9984,3.9958
2001-05-02,3.9984,3.9958
2001-05-03,3.999,3.9974
2001-05-04,4.0004,4.0038
2001-05-07,3.9991,4.0007
2001-05-08,3.9996,3.9991
2001-05-09,3.9995,3.9958
2001-05-10,3.9982,3.9903
2001-05-11,3.9991,3.9937
2001-05-14,3.9997,4.0073
2001-05-15,4.0005,4.0065
2001-05-16,4.0011,4.0005
2001-05-17,4.0017,4.0038
2001-05-18,4.001,3.9992
2001-05-21,4.001,3.9978
2001-05-22,4.001,3.9946
2001-05-23,4.0006,3.9959
2001-05-24,4.0013,3.9977
2001-05-25,4.001,4.0037
2001-05-28,4.001,4.0124
2001-05-29,4.001,3.9962
2001-05-30,4.0011,4.0004
2001-05-31,4.0011,4.0021
2001-06-01,4.0008,3.9951
2001-06-04,4.0011,4.0
2001-06-05,4.0011,3.9998
2001-06-06,4.0009,3.9985
2001-06-07,4.0,3.9952
2001-06-08,4.0,4.0029
2001-06-11,4.0004,4.0034
2001-06-12,3.9992,4.0091
2001-06-13,3.9995,3.9975
2001-06-14,3.9987,3.9975
2001-06-15,3.9985,4.0004
2001-06-18,3.9992,3.999
2001-06-19,3.999,4.0
2001-06-20,3.9989,4.001
2001-06-21,3.9988,4.0025
2001-06-22,3.9989,4.0018
2001-06-25,3.9991,4.0031
2001-06-26,3.9991,4.0013
2001-06-27,4.001,4.0026
2001-06-28,4.001,4.0003
2001-06-29,4.0007,3.9977
2001-07-02,4.0007,4.0006
2001-07-03,4.0009,3.9959
2001-07-04,4.0001,4.0005
2001-07-05,4.0009,4.002
2001-07-06,4.0002,4.0026
2001-07-09,4.0008,4.0074
2001-07-10,3.9986,4.0016
2001-07-11,3.9996,3.9978
2001-07-12,3.9995,3.9983
2001-07-13,4.0009,4.0004
2001-07-16,4.0006,4.0002
2001-07-17,3.999,4.0031
2001-07-18,3.9986,4.0082
2001-07-19,3.9998,4.0005
2001-07-20,4.0005,3.9959
2001-07-23,4.001,3.9937
2001-07-24,4.0002,3.9958
2001-07-25,4.0008,3.9979
2001-07-26,4.001,3.9993
2001-07-27,4.0007,4.0032
2001-07-30,4.0007,4.0013
2001-07-31,4.0018,4.0017
2001-08-01,4.0002,4.0065
2001-08-02,4.0,4.0013
2001-08-03,4.0,4.0013
2001-08-06,4.0011,4.0066
2001-08-07,4.0007,4.0027
2001-08-08,4.0002,4.0008
2001-08-09,4.0,4.0002
2001-08-10,3.9998,4.0013
2001-08-13,4.0001,4.004
2001-08-14,4.0008,4.0004
2001-08-15,4.0004,4.0012
2001-08-16,4.0005,4.0038
2001-08-17,4.0,4.0024
2001-08-20,3.9995,3.9928
2001-08-21,3.999,4.0002
2001-08-22,3.9991,4.0013
2001-08-23,3.9985,3.9998
2001-08-24,3.9982,3.9988
2001-08-27,3.999,3.9977
2001-08-28,3.9982,3.9994
2001-08-29,3.9982,4.0012
2001-08-30,4.0,4.0026
2001-08-31,4.0002,4.0072
2001-09-03,4.0002,4.0046
2001-09-04,4.001,4.0018
2001-09-05,4.0,4.0021
2001-09-06,4.0002,4.0003
2001-09-07,4.0,4.0029
2001-09-10,4.0,4.0
2001-09-11,4.0002,4.0009
2001-09-12,3.9992,3.9942
2001-09-13,3.999,4.0014
