Date,LVL,YTD
2000-11-03,0.62376,0.58304
2000-11-06,0.62153,0.5813
2000-11-07,0.62271,0.5813
2000-11-08,0.6256,0.58321
2000-11-09,0.62624,0.58539
2000-11-10,0.62666,0.58394
2000-11-13,0.62447,0.58476
2000-11-14,0.62506,0.58476
2000-11-15,0.62577,0.58624
2000-11-16,0.62669,0.58645
2000-11-17,0.62749,0.58678
2000-11-20,0.62824,0.58593
2000-11-21,0.62901,0.58593
2000-11-22,0.63063,0.58955
2000-11-23,0.63115,0.58685
2000-11-24,0.63285,0.58691
2000-11-27,0.63395,0.58897
2000-11-28,0.63467,0.58897
2000-11-29,0.63123,0.59044
2000-11-30,0.62902,0.58956
2000-12-01,0.63001,0.58869
2000-12-04,0.62919,0.59014
2000-12-05,0.62405,0.59014
2000-12-06,0.62611,0.59031
2000-12-07,0.62653,0.58623
2000-12-08,0.62373,0.58492
2000-12-11,0.62462,0.58428
2000-12-12,0.62585,0.58428
2000-12-13,0.62696,0.58466
2000-12-14,0.6286,0.58323
2000-12-15,0.62665,0.58468
2000-12-18,0.62322,0.58476
2000-12-19,0.62313,0.58476
2000-12-20,0.62507,0.58778
2000-12-21,0.62225,0.58459
2000-12-22,0.62005,0.58578
2000-12-25,0.61872,0.58509
2000-12-26,0.61872,0.58509
2000-12-27,0.61872,0.5845
2000-12-28,0.6189,0.58427
2000-12-29,0.61982,0.58539
2001-01-01,0.61945,0.58541
2001-01-02,0.61945,0.58541
2001-01-03,0.617,0.58541
2001-01-04,0.61312,0.58632
2001-01-05,0.61546,0.58282
2001-01-08,0.61467,0.58337
2001-01-09,0.61609,0.58337
2001-01-10,0.61717,0.58557
2001-01-11,0.61666,0.5852
2001-01-12,0.61399,0.58649
2001-01-15,0.61299,0.58603
2001-01-16,0.61636,0.58603
2001-01-17,0.61677,0.58484
2001-01-18,0.61622,0.58619
2001-01-19,0.6174,0.58546
2001-01-22,0.61681,0.58598
2001-01-23,0.6197,0.58598
2001-01-24,0.6172,0.58512
2001-01-25,0.61868,0.58692
2001-01-26,0.62147,0.58703
2001-01-29,0.61964,0.58701
2001-01-30,0.6208,0.58701
2001-01-31,0.62053,0.5923
2001-02-01,0.61907,0.59534
2001-02-02,0.61642,0.59784
2001-02-05,0.61646,0.59787
2001-02-06,0.61592,0.59787
2001-02-07,0.61779,0.59797
2001-02-08,0.61823,0.59885
2001-02-09,0.61974,0.59457
2001-02-12,0.62079,0.59414
2001-02-13,0.61951,0.59414
2001-02-14,0.61908,0.59586
2001-02-15,0.61974,0.5941
2001-02-16,0.62068,0.59552
2001-02-19,0.62032,0.59361
2001-02-20,0.61945,0.59361
2001-02-21,0.62227,0.59501
2001-02-22,0.6206,0.59602
2001-02-23,0.62191,0.5922
2001-02-26,0.62136,0.59507
2001-02-27,0.61988,0.59507
2001-02-28,0.61912,0.59533
2001-03-01,0.6184,0.59646
2001-03-02,0.6183,0.59657
2001-03-05,0.61615,0.59434
2001-03-06,0.6173,0.5954
2001-03-07,0.61731,0.59575
2001-03-08,0.61803,0.59491
2001-03-09,0.6177,0.59688
2001-03-12,0.61676,0.59515
2001-03-13,0.61918,0.59482
2001-03-14,0.62117,0.59181
2001-03-15,0.62176,0.59366
2001-03-16,0.62599,0.59314
2001-03-19,0.62826,0.5936
2001-03-20,0.62728,0.59367
2001-03-21,0.62761,0.59393
2001-03-22,0.62914,0.59437
2001-03-23,0.63134,0.59513
2001-03-26,0.63002,0.59186
2001-03-27,0.62955,0.5931
2001-03-28,0.62936,0.59164
2001-03-29,0.63047,0.59179
2001-03-30,0.63122,0.59406
2001-04-02,0.6327,0.59362
2001-04-03,0.63486,0.59154
2001-04-04,0.63335,0.59138
2001-04-05,0.62932,0.59363
2001-04-06,0.6286,0.59072
2001-04-09,0.63076,0.59106
2001-04-10,0.62874,0.59212
2001-04-11,0.62996,0.59114
2001-04-12,0.63201,0.59297
2001-04-13,0.63137,0.59231
2001-04-16,0.63137,0.59316
2001-04-17,0.63137,0.59298
2001-04-18,0.63269,0.59104
2001-04-19,0.63147,0.59208
2001-04-20,0.62943,0.59338
2001-04-23,0.6271,0.59407
2001-04-24,0.62619,0.59407
2001-04-25,0.62565,0.59407
2001-04-26,0.62691,0.59536
2001-04-27,0.62565,0.59774
2001-04-30,0.62651,0.59915
2001-05-01,0.6299,0.60011
2001-05-02,0.6299,0.60011
2001-05-03,0.62849,0.60169
2001-05-04,0.62822,0.60653
2001-05-07,0.62725,0.6068
2001-05-08,0.62787,0.60563
2001-05-09,0.6296,0.60634
2001-05-10,0.63068,0.60593
2001-05-11,0.63006,0.60503
2001-05-14,0.63125,0.60745
2001-05-15,0.6319,0.60771
2001-05-16,0.63116,0.60599
2001-05-17,0.6295,0.60838
2001-05-18,0.6295,0.61107
2001-05-21,0.63028,0.61071
2001-05-22,0.63034,0.61003
2001-05-23,0.63166,0.60744
2001-05-24,0.63273,0.60608
2001-05-25,0.6325,0.60761
2001-05-28,0.63264,0.61096
2001-05-29,0.63327,0.60669
2001-05-30,0.6333,0.60473
2001-05-31,0.63321,0.60241
2001-06-01,0.63408,0.60368
2001-06-04,0.63447,0.60461
2001-06-05,0.63421,0.60438
2001-06-06,0.63497,0.60013
